[2026-03-14T18:30:45.267+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:30:43.699328+00:00 [queued]>
[2026-03-14T18:30:45.270+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:30:43.699328+00:00 [queued]>
[2026-03-14T18:30:45.270+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2026-03-14T18:30:45.275+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): get_api_data> on 2026-03-14 18:30:43.699328+00:00
[2026-03-14T18:30:45.277+0000] {standard_task_runner.py:57} INFO - Started process 86 to run task
[2026-03-14T18:30:45.279+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'dag_mlops_full_pipeline', 'get_api_data', 'manual__2026-03-14T18:30:43.699328+00:00', '--job-id', '42', '--raw', '--subdir', 'DAGS_FOLDER/dag2.py', '--cfg-path', '/tmp/tmpzfdq2hc0']
[2026-03-14T18:30:45.280+0000] {standard_task_runner.py:85} INFO - Job 42: Subtask get_api_data
[2026-03-14T18:30:45.296+0000] {task_command.py:410} INFO - Running <TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:30:43.699328+00:00 [running]> on host aea4a64dca39
[2026-03-14T18:30:45.322+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_mlops_full_pipeline' AIRFLOW_CTX_TASK_ID='get_api_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T18:30:43.699328+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-14T18:30:43.699328+00:00'
[2026-03-14T18:30:45.325+0000] {base.py:73} INFO - Using connection ID 'postgres_default' for task execution.
[2026-03-14T18:30:45.326+0000] {logging_mixin.py:149} INFO - Llamando API: http://host.docker.internal:8080/data | params={'group_number': 4}
[2026-03-14T18:30:45.354+0000] {logging_mixin.py:149} INFO - Payload recibido -> group_number=4, batch_number=7, filas=5810
[2026-03-14T18:30:45.354+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2237', '123', '32', '95', '39', '934', '254', '198', '46', '912', 'Cache', 'C2717', '2']
[2026-03-14T18:30:45.356+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2847', '99', '5', '335', '20', '908', '228', '233', '140', '300', 'Rawah', 'C7745', '1']
[2026-03-14T18:30:45.356+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2916', '226', '21', '510', '159', '1421', '187', '254', '198', '1655', 'Commanche', 'C7757', '1']
[2026-03-14T18:30:45.356+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2954', '56', '15', '391', '99', '531', '229', '206', '106', '806', 'Commanche', 'C7756', '1']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2239', '47', '39', '192', '82', '924', '202', '129', '0', '1523', 'Cache', 'C4703', '2']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2956', '340', '17', '124', '38', '379', '183', '214', '169', '1565', 'Commanche', 'C7700', '1']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2464', '349', '10', '295', '13', '955', '202', '224', '160', '1006', 'Cache', 'C2717', '5']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['3086', '86', '14', '360', '-96', '1711', '239', '216', '105', '1292', 'Rawah', 'C7745', '0']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2904', '321', '13', '30', '4', '2799', '185', '227', '181', '1298', 'Commanche', 'C7757', '1']
[2026-03-14T18:30:45.357+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2920', '316', '13', '108', '11', '1082', '185', '228', '183', '2951', 'Rawah', 'C7201', '0']
