[2026-03-14T18:54:35.119+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:54:32.570904+00:00 [queued]>
[2026-03-14T18:54:35.122+0000] {taskinstance.py:1125} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:54:32.570904+00:00 [queued]>
[2026-03-14T18:54:35.122+0000] {taskinstance.py:1331} INFO - Starting attempt 1 of 1
[2026-03-14T18:54:35.126+0000] {taskinstance.py:1350} INFO - Executing <Task(PythonOperator): get_api_data> on 2026-03-14 18:54:32.570904+00:00
[2026-03-14T18:54:35.129+0000] {standard_task_runner.py:57} INFO - Started process 215 to run task
[2026-03-14T18:54:35.130+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'dag_mlops_full_pipeline', 'get_api_data', 'manual__2026-03-14T18:54:32.570904+00:00', '--job-id', '51', '--raw', '--subdir', 'DAGS_FOLDER/dag2.py', '--cfg-path', '/tmp/tmpa6hr82kz']
[2026-03-14T18:54:35.131+0000] {standard_task_runner.py:85} INFO - Job 51: Subtask get_api_data
[2026-03-14T18:54:35.148+0000] {task_command.py:410} INFO - Running <TaskInstance: dag_mlops_full_pipeline.get_api_data manual__2026-03-14T18:54:32.570904+00:00 [running]> on host 971ff81eac69
[2026-03-14T18:54:35.175+0000] {taskinstance.py:1570} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='dag_mlops_full_pipeline' AIRFLOW_CTX_TASK_ID='get_api_data' AIRFLOW_CTX_EXECUTION_DATE='2026-03-14T18:54:32.570904+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-14T18:54:32.570904+00:00'
[2026-03-14T18:54:35.177+0000] {base.py:73} INFO - Using connection ID 'postgres_default' for task execution.
[2026-03-14T18:54:35.178+0000] {logging_mixin.py:149} INFO - Llamando API: http://host.docker.internal:8080/data | params={'group_number': 4}
[2026-03-14T18:54:35.215+0000] {logging_mixin.py:149} INFO - Payload recibido -> group_number=4, batch_number=8, filas=5810
[2026-03-14T18:54:35.215+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2776', '39', '14', '0', '0', '1113', '220', '209', '121', '2125', 'Commanche', 'C7757', '1']
[2026-03-14T18:54:35.218+0000] {logging_mixin.py:149} INFO - Insertando fila: ['3303', '198', '12', '603', '127', '3472', '216', '250', '167', '2718', 'Rawah', 'C7202', '0']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2887', '310', '18', '382', '125', '2569', '168', '225', '196', '1150', 'Commanche', 'C7700', '1']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['3191', '124', '37', '752', '310', '1087', '252', '185', '25', '2618', 'Rawah', 'C7745', '0']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2247', '121', '24', '42', '16', '825', '252', '212', '72', '1092', 'Cache', 'C2705', '5']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2855', '110', '25', '150', '32', '671', '253', '202', '61', '1298', 'Commanche', 'C4758', '4']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2319', '310', '19', '277', '36', '1199', '164', '223', '198', '911', 'Cache', 'C4703', '5']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2358', '140', '13', '85', '13', '1383', '239', '236', '125', '492', 'Cache', 'C2717', '2']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['3134', '145', '21', '524', '-40', '1072', '244', '231', '106', '1061', 'Rawah', 'C7746', '1']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['3230', '151', '13', '67', '10', '3429', '237', '239', '130', '4042', 'Rawah', 'C8772', '0']
[2026-03-14T18:54:35.219+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2478', '219', '7', '450', '208', '1092', '212', '247', '171', '631', 'Cache', 'C4703', '5']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2311', '4', '28', '201', '115', '738', '171', '174', '130', '531', 'Cache', 'C2717', '5']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2289', '121', '20', '42', '14', '642', '250', '219', '88', '759', 'Cache', 'C2705', '2']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2356', '276', '20', '258', '103', '443', '163', '240', '214', '666', 'Cache', 'C4704', '2']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2995', '167', '9', '124', '5', '2037', '227', '244', '149', '3976', 'Rawah', 'C7202', '0']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2959', '344', '14', '30', '7', '1505', '190', '217', '165', '2081', 'Commanche', 'C7757', '1']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2953', '123', '18', '470', '143', '470', '248', '223', '96', '1442', 'Rawah', 'C7745', '1']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2434', '72', '9', '339', '91', '1316', '231', '222', '123', '685', 'Cache', 'C4703', '5']
[2026-03-14T18:54:35.220+0000] {logging_mixin.py:149} INFO - Insertando fila: ['2940', '24', '6', '242', '36', '604', '217', '226', '146', '1742', 'Commanche', 'C7700', '1']
